Date,Price,Open,High,Low,Vol.,Change_Short,Change_Long
10/05/2023,100.47,101.99,102.26,99.55,5.29M,-1.04%,-0.065656096
11/05/2023,99.89,98.88,100.12,98.55,5.67M,-0.58%,-0.08391416
12/05/2023,99.43,100.64,100.95,98.71,5.00M,-0.46%,-0.08359447
15/05/2023,100.29,99.33,100.45,98.46,5.84M,0.86%,-0.050374018
16/05/2023,98.07,99.87,100.56,97.42,4.82M,-2.21%,-0.065555026
17/05/2023,100.71,99.54,101.46,98.56,5.01M,2.69%,-0.043226297
18/05/2023,100.74,100.2,100.85,99.25,5.50M,0.03%,-0.029292735
19/05/2023,102.6,102.33,103.59,101.83,6.07M,1.85%,0.003324858
22/05/2023,103.73,102.73,104.92,102.42,5.56M,1.10%,0.000771828
23/05/2023,104.39,104.46,105.57,103.99,5.42M,0.64%,0.022529141
24/05/2023,103.98,105.49,105.68,103.47,5.14M,-0.39%,0.034935802
25/05/2023,101.69,101.94,102.4,100.5,4.95M,-2.20%,0.004544107
26/05/2023,101.85,102.67,102.85,100.88,5.71M,0.16%,-0.010107882
30/05/2023,101.2,100.7,101.59,100.03,6.72M,-0.64%,-0.012971813
31/05/2023,99.3,99.43,100.99,99.23,22.76M,-1.88%,0.006690998
01/06/2023,99.53,99.57,100.98,98.38,5.86M,0.23%,0.035799771
02/06/2023,102.35,101.36,102.93,100.48,4.96M,2.83%,0.051253081
05/06/2023,102.07,104.25,104.48,100.97,5.49M,-0.27%,0.016937332
06/06/2023,101.94,101.05,102.74,100.35,3.62M,-0.13%,0.010307235
07/06/2023,104.81,102.32,105.48,102.32,4.83M,2.82%,0.032305722
08/06/2023,104.54,104.85,105.57,102.59,5.23M,-0.26%,0.040509605
09/06/2023,103.89,104.84,105.45,103.63,4.09M,-0.62%,0.040044048
12/06/2023,102.82,102.21,104.15,101.43,6.05M,-1.03%,0.034094338
13/06/2023,103.41,103.85,105.47,103.22,4.90M,0.57%,0.031109782
14/06/2023,102.67,104.43,104.95,102.04,4.92M,-0.72%,0.046905272
15/06/2023,104.15,102.89,105.31,102.83,4.61M,1.44%,0.034157482
16/06/2023,104.92,104.86,105.48,104.22,9.93M,0.74%,0.041492952
20/06/2023,102.03,104.13,104.75,101.02,8.59M,-2.75%,-0.005555556
21/06/2023,103.7,101.8,104.43,101.8,6.48M,1.64%,-0.000289212
22/06/2023,101.43,102.64,102.88,101.1,4.97M,-2.19%,-0.028355206
23/06/2023,100.46,100.03,100.92,99.63,7.15M,-0.96%,-0.033852664
26/06/2023,101.31,100.16,101.87,100,4.36M,0.85%,-0.003736847
27/06/2023,100.79,101.01,101.62,100.33,3.82M,-0.51%,-0.010407462
28/06/2023,102.51,100.82,102.72,99.96,5.46M,1.71%,0.012944664
29/06/2023,103.06,102.51,103.31,101.81,4.26M,0.54%,0.037865055
30/06/2023,103.61,103.75,104.39,102.54,7.00M,0.53%,0.040992666
03/07/2023,104.23,103.95,104.99,103.63,2.23M,0.60%,0.018368344
05/07/2023,104.02,105,105,103.14,4.16M,-0.20%,0.019104536
06/07/2023,100.34,102.8,103.63,99.35,6.01M,-3.54%,-0.015695507
07/07/2023,103.23,100.55,104.61,100.12,7.39M,2.88%,-0.015074897
10/07/2023,104.35,102.85,104.46,102.75,6.41M,1.08%,-0.001817486
11/07/2023,107.44,105,107.61,104.85,5.65M,2.96%,0.034170758
12/07/2023,109.31,108.64,109.57,108.45,6.23M,1.74%,0.063120016
13/07/2023,110.55,109.89,111.76,109.58,6.05M,1.13%,0.069045547
14/07/2023,107.09,110.07,110.23,106.45,4.74M,-3.13%,0.04305055
17/07/2023,106.44,106.69,107.66,106.14,4.08M,-0.61%,0.021987518
18/07/2023,108.75,106.45,109.5,106.4,4.40M,2.17%,0.036504003
19/07/2023,109.48,108.77,110.69,108.77,5.41M,0.67%,0.07301774
20/07/2023,111.69,110.5,111.78,110.2,6.70M,2.02%,0.07704918
21/07/2023,112.89,112.17,113.2,111.85,4.96M,1.07%,0.112984324
24/07/2023,114.72,113.4,115.7,113.4,4.00M,1.62%,0.141947044
25/07/2023,116.18,114.37,116.52,113.9,3.66M,1.27%,0.146777218
26/07/2023,116.83,115.32,117.14,115.15,4.01M,0.56%,0.159142772
27/07/2023,115.78,117.34,117.89,115.33,4.57M,-0.90%,0.129450785
28/07/2023,115.93,115.74,116.3,114.67,3.14M,0.13%,0.124878711
31/07/2023,117.72,117.22,118.25,116.76,4.13M,1.54%,0.136183766
01/08/2023,117.38,117.26,117.83,116.19,3.31M,-0.29%,0.126163293
02/08/2023,115.59,116.69,117.54,114.91,4.58M,-1.52%,0.11122861
03/08/2023,114.99,114.91,117.29,113.01,7.29M,-0.52%,0.146003588
04/08/2023,113.71,115.87,116.68,113.58,6.93M,-1.11%,0.101520876
07/08/2023,114.48,114.49,114.6,113.25,3.64M,0.68%,0.097077144
08/08/2023,115.59,112.65,115.79,111.3,4.28M,0.97%,0.075856292
09/08/2023,116.44,116.73,118.84,116.3,4.82M,0.74%,0.065227335
10/08/2023,115.83,116.29,117.59,115.16,3.59M,-0.52%,0.047761194
11/08/2023,117.81,115.98,118.05,115.47,3.77M,1.71%,0.100102717
14/08/2023,117.69,117.17,117.78,116.3,4.25M,-0.10%,0.105693348
15/08/2023,115.51,116.5,116.85,114.97,4.21M,-1.85%,0.06216092
16/08/2023,114.64,115.75,116.91,114.56,3.77M,-0.75%,0.047131896
17/08/2023,116.73,116.5,117.88,116.22,4.04M,1.82%,0.045124899
18/08/2023,117.29,115.84,118.03,115.65,4.27M,0.48%,0.038975994
21/08/2023,117.21,118.14,119.11,116.54,3.27M,-0.07%,0.021705021
22/08/2023,116.15,117.59,117.74,116.08,3.20M,-0.90%,-0.00025822
23/08/2023,115.81,115.01,116.34,113.86,3.14M,-0.29%,-0.008730634
24/08/2023,114.8,115.19,116.38,114.74,3.54M,-0.87%,-0.008464329
25/08/2023,116.52,115.69,117.13,114.76,3.71M,1.50%,0.005089278
28/08/2023,117.52,116.48,118.4,116.42,2.82M,0.86%,-0.001698947
29/08/2023,117.66,117.86,118.1,116.58,3.21M,0.12%,0.002385415
30/08/2023,118.7,118.27,118.94,118.01,2.85M,0.88%,0.026905442
31/08/2023,119.03,119.17,119.56,118.1,4.40M,0.28%,0.03513349
01/09/2023,122.14,120,122.5,119.97,6.40M,2.61%,0.07413596
05/09/2023,122.83,122.77,124.99,122.56,5.79M,0.56%,0.072938505
06/09/2023,123.07,122.47,123.44,121.92,4.66M,0.20%,0.06471148
07/09/2023,121.71,122.99,123.68,121.61,3.50M,-1.11%,0.045259361
08/09/2023,122.72,122.76,124.01,122.45,4.37M,0.83%,0.059483726
11/09/2023,120.44,123.44,123.9,119.82,4.29M,-1.86%,0.022324081
12/09/2023,123.08,121.25,123.44,121.2,4.49M,2.19%,0.045798284
13/09/2023,122.31,123.48,123.7,121.47,3.88M,-0.63%,0.058869362
14/09/2023,124.5,123.5,124.89,123.44,4.69M,1.79%,0.086008374
15/09/2023,123.57,124.05,125.99,123.19,12.44M,-0.75%,0.058596762
18/09/2023,124.48,125.18,125.73,124.07,4.95M,0.74%,0.061301049
19/09/2023,123.16,125.84,126.03,122.18,4.19M,-1.06%,0.050763587
20/09/2023,121.17,122.63,123.81,121.06,3.44M,-1.62%,0.043219974
21/09/2023,119.07,122.03,122.16,118.75,4.47M,-1.73%,0.028149555
22/09/2023,119.16,119.92,121.18,119.04,3.64M,0.08%,0.037979094
